"0.2.0","10","0.010706637986004353"
"0.2.1","11","0.011777302250266075"
"0.2.2","11","0.011777302250266075"
"0.2.2-RC1","8","0.008565310388803482"
"0.2.2-RC2","9","0.009635974653065205"
"0.2.2-RC3","9","0.009635974653065205"
"0.3.0","7","0.007494646590203047"
"0.3.1","8","0.008565310388803482"
"0.3.2","7","0.007494646590203047"
"0.4.0","7","0.007494646590203047"
"0.4.1","7","0.007494646590203047"
"0.4.2","19","0.020342612639069557"
"0.5.0-M1","7","0.007494646590203047"
"0.5.0-M2","8","0.008565310388803482"
"0.5.0-M3","7","0.007494646590203047"
"0.5.0-M4","8","0.008565310388803482"
"0.5.0-M6","7","0.007494646590203047"
"0.5.0-M7","8","0.008565310388803482"
"0.5.0-M8","6","0.0064239827916026115"
"0.5.0","10","0.010706637986004353"
"0.5.0-RC1","8","0.008565310388803482"
"0.5.0-RC2","7","0.007494646590203047"
"0.5.0-RC3","8","0.008565310388803482"
"0.5.1","6","0.0064239827916026115"
"0.5.2","93","0.09957173466682434"
"0.5.3","9","0.009635974653065205"
"0.5.5","10","0.010706637986004353"
"0.5.6","14","0.014989293180406094"
"0.5.7","523","0.5599571466445923"
"0.5.10","19","0.020342612639069557"
"0.5.8","24","0.025695931166410446"
"0.5.9","39","0.04175588861107826"
