"0.6.0-M15","14","1.9652156333904713E-4"
"0.6.0-M16","18","2.526705793570727E-4"
"0.6.0-M17","14","1.9652156333904713E-4"
"0.6.0-M14","16","2.2459607862401754E-4"
"0.6.0-M20","12","1.6844706260599196E-4"
"0.6.0-RC1","19","2.6670785155147314E-4"
"0.6.0-M18","13","1.8248432024847716E-4"
"0.7.0-RC1","12","1.6844706260599196E-4"
"0.8.0-RC1","12","1.6844706260599196E-4"
"0.6.0-M19","15","2.1055882098153234E-4"
"0.9.0-RC1","90","0.001263352925889194"
"0.8.0-M21","13","1.8248432024847716E-4"
"0.9.0","2041","0.028650037944316864"
"0.9.1","2835","0.03979561850428581"
"0.9.2","135","0.001895029447041452"
"0.9.3","407","0.0057131629437208176"
"0.9.4","3868","0.0542961023747921"
"0.9.5","3298","0.04629486799240112"
"0.9.6","20521","0.2880585193634033"
"0.9.7","22557","0.31663835048675537"
"0.9.8","14309","0.20085908472537994"
"0.9.10","12","1.6844706260599196E-4"
"0.9.11","69","9.685705881565809E-4"
"2.3.0-RC1","7","9.826078166952357E-5"
"0.9.9","932","0.013082721270620823"
