"0.9.16","444","0.032525088638067245"
"0.9.17","2","1.4650941011495888E-4"
"0.9.18","302","0.02212292142212391"
"0.9.19","631","0.0462237186729908"
"0.9.20","3","2.1976411517243832E-4"
"0.9.21","15","0.0010988205904141068"
"0.9.22","2","1.4650941011495888E-4"
"0.9.23","372","0.027250749990344048"
"0.9.24","2357","0.17266134917736053"
"0.9.25","103","0.007545234635472298"
"0.9.26","1530","0.11207970231771469"
"0.9.27","6199","0.4541059136390686"
"0.9.28","1417","0.1038019210100174"
"0.9.29","274","0.020071789622306824"
