"0.9.16","591","0.011129105463624"
"0.9.17","7","1.3181680697016418E-4"
"0.9.18","29","5.460982210934162E-4"
"0.9.19","273","0.00514085590839386"
"0.9.20","11","2.0714070706162602E-4"
"0.9.21","6","1.1298583558527753E-4"
"0.9.22","5","9.415486420039088E-5"
"0.9.23","77","0.0014499849639832973"
"0.9.24","1070","0.020149141550064087"
"0.9.25","15","2.8246460715308785E-4"
"0.9.26","47","8.850557496771216E-4"
"0.9.27","49","9.227176778949797E-4"
"0.9.28","11","2.0714070706162602E-4"
"0.9.29","813","0.015309581533074379"
"0.9.30","227","0.004274630919098854"
"0.9.31","4563","0.08592572808265686"
"0.9.33","3444","0.06485386937856674"
"0.9.32","30","5.649292143061757E-4"
"0.9.34","2196","0.04135281592607498"
"0.10.0-RC1","5","9.415486420039088E-5"
"0.10.0","16419","0.3091857433319092"
"0.10.1","23216","0.4371798634529114"
